x,y,z,type,volume
1676.194,-4992.91,0,Rod,3325.0
1623.004,-4492.27,0,Rod,740.5
3895.364,-3403.872,0,RGC,1570.0
4007.398,-3444.858,0,MG,6137.5
4412.312,-3768.086,0,Rod,6151.0
8607.776,-2690.488,0,MG,6913.5
8016.578,1013.122,0,BC,2670.5
9009.45,854.108,0,AC,5065.5
2215.336,-394.044,0,Rod,1618.0
3416.146,1239.096,0,BC,2564.0
4218.792,1230.726,0,MG,3580.0
4904.22,790.0260000000001,0,AC,7152.5
12.798,955.034,0,RGC,2313.5
411.016,-1563.064,0,BC,6028.0
974.4739999999999,-250.528,0,AC,4259.0
1011.124,-207.274,0,AC,7416.5
1012.906,-467.592,0,BC,2616.0
1413.23,3818.738,0,RGC,2816.0
2404.714,5496.768,0,AC,2956.0
2413.878,5059.022,0,RGC,4675.0
4244.172,5805.092,0,Rod,3062.5
4564.754,5411.086,0,Rod,3240.5
4861.236,5200.34,0,Rod,794.0
6009.774,5231.482,0,AC,3352.5
6472.36,5401.798,0,Rod,2272.0
3608.964,-3264.784,0,MG,7531.0
3917.072,-3437.46,0,RGC,1167.5
4009.45,-3379.75,0,Rod,3699.5
6009.504,-2846.316,0,BC,1993.0
6284.402,-2391.468,0,Rod,3221.5
6609.99,-2181.424,0,Rod,2999.5
7411.664,-1987.58,0,Rod,5387.0
8053.73,-2194.152,0,AC,5306.5
7676.032,1209.682,0,Rod,2473.5
7620.682,3203.85,0,AC,3674.0
7830.24,3403.634,0,AC,2461.0
7822.194,1243.686,0,RGC,3256.0
7899.414,1007.0360000000001,0,Rod,1915.0
8017.496,1019.062,0,AC,1559.0
9012.636,820.142,0,AC,5365.5
2613.176,811.232,0,Rod,3532.0
4224.354,1233.048,0,MG,5497.5
4410.314,1168.318,0,AC,5145.5
4667.446,1008.656,0,AC,2759.5
4908.54,797.802,0,MG,5196.0
25.758,960.488,0,AC,3991.0
414.31,-1554.1,0,AC,6207.0
615.984,539.104,0,RGC,2738.5
621.006,-1392.548,0,AC,3449.5
911.996,-975.808,0,AC,5597.5
973.016,-199.606,0,RGC,1257.0
814.634,401.528,0,Rod,402.0
810.314,429.592,0,Rod,1761.0
1016.092,-589.848,0,AC,6358.0
-195.178,4199.152,0,Rod,4326.5
-191.954,4194.4,0,Rod,4964.5
0.8799999999999955,4008.764,0,Rod,3772.0
1420.628,3816.686,0,RGC,1323.5
1607.722,3878.678,0,BC,5363.0
2404.6059999999998,5489.586,0,AC,2218.5
2216.578,4434.344,0,RGC,4983.5
2412.636,5045.252,0,AC,1351.5
2424.408,5252.758,0,RGC,7219.5
4152.064,6005.146,0,Rod,2583.5
4245.684,5800.448,0,Cone,4018.5
4568.804,5406.388,0,Rod,2258.0
4607.074,5465.394,0,AC,6913.0
4875.276,5206.226,0,Rod,4267.0
5207.668,5169.398,0,AC,5410.0
5839.42,5212.204,0,RGC,5122.0
7012.582,6797.748,0,AC,5123.0
3413.446,-3215.6440000000002,0,BC,4689.0
4009.828,-3452.418,0,AC,7910.5
4009.45,-3371.974,0,Rod,3479.5
4416.308,-3774.026,0,Rod,3976.5
5754.602,-3447.342,0,Rod,1591.0
