x,y,z,type,volume
-380.722,-4580.83,0,Rod,2436.5
6017.442,-3753.938,0,Rod,2061.5
6211.286,-3773.486,0,Rod,3553.0
7009.342,-4143.57,0,Rod,5209.0
8612.258,699.252,0,Rod,4341.0
2211.34,-715.004,0,Rod,2074.0
2230.186,-801.1179999999999,0,Rod,2223.5
2365.564,-996.366,0,Rod,1592.0
3048.222,-1603.872,0,Rod,6479.0
3417.604,-1579.21,0,AC,5403.5
4226.784,-1378.994,0,RGC,2222.0
4408.748,-1363.172,0,BC,5558.5
4911.834,-760.418,0,RGC,4070.5
213.824,-144.002,0,Rod,1746.0
219.224,-2531.258,0,AC,4038.5
409.666,-2364.36,0,BC,3933.5
607.83,-2127.748,0,AC,3912.0
812.312,-1617.372,0,BC,1779.5
-362.794,4367.508,0,Rod,5385.0
-189.686,3916.046,0,AC,2966.5
215.498,3412.312,0,AC,1432.0
409.558,3212.798,0,Rod,3259.0
1811.124,3488.884,0,AC,4735.0
2010.962,3679.488,0,MG,5283.0
4260.912,4759.4619999999995,0,Rod,2653.0
4659.454,4006.604,0,Rod,3163.0
5474.25,3607.306,0,Rod,2809.0
6821.384,4473.386,0,AC,1742.0
7009.342,5172.044,0,MG,7378.5
-362.254,-4566.088,0,Rod,2795.0
1094.608,-3979.102,0,Rod,2469.0
1459.454,-4196.636,0,RGC,6019.0
1768.21,-4395.016,0,AC,5043.0
1930.896,-4594.368,0,RGC,3312.5
2191.16,-5107.876,0,RGC,1772.0
4492.34,-4959.338,0,Rod,4418.0
5208.91,-3971.488,0,Rod,3786.0
6020.736,-3748.214,0,Rod,2276.5
7010.8,-4155.936,0,Rod,3008.0
7212.96,-4388.66,0,Rod,2858.5
7413.932,-1187.526,0,AC,2496.0
7622.302,-1570.246,0,AC,1631.5
8011.124,599.692,0,Rod,7016.5
8613.554,708.432,0,Rod,2701.5
8610.044,-2197.554,0,Rod,2041.5
2213.23,-693.944,0,Rod,2373.5
2366.59,-991.56,0,Cone,2791.5
2419.116,-965.926,0,AC,4554.5
2618.09,-1177.212,0,AC,2154.0
3063.72,-1592.046,0,Rod,1674.0
4013.608,-1626.012,0,Cone,3230.5
4009.342,-1551.94,0,BC,3166.0
4410.962,-1347.242,0,AC,5628.0
4613.5,-1159.77,0,RGC,3461.5
4932.3,-703.826,0,RGC,5729.0
5069.93,-114.41,0,BC,4098.0
5028.836,-339.952,0,AC,2374.0
-189.254,99.144,0,Cone,3464.0
-184.934,-67.64600000000002,0,AC,3795.0
218.144,-114.626,0,Rod,2659.5
214.796,-209.056,0,AC,2446.0
412.528,-2387.58,0,BC,4425.5
455.404,-597.716,0,AC,5240.0
666.474,-824.8240000000001,0,BC,4549.0
808.818,-1447.612,0,AC,2594.5
609.396,-2140.06,0,MG,1893.0
816.74,-614.024,0,Rod,3055.5
-361.876,4322.742,0,Rod,5897.0
-188.552,3864.098,0,Rod,1840.5
96.768,3400.07,0,Rod,2872.0
414.04,3222.086,0,Rod,3576.5
1214.58,3267.392,0,RGC,2652.0
2012.528,3702.762,0,AC,6873.5
2400.178,4633.75,0,Rod,1411.0
2253.622,4209.828,0,RGC,6316.5
2209.666,3771.828,0,Rod,3927.0
2413.338,4177.498,0,Rod,3590.0
2414.526,4287.372,0,Rod,2544.5
4262.1,4765.996,0,Rod,3464.0
4409.396,4445.576,0,Rod,3627.0
4668.418,4004.174,0,Rod,3374.0
5100.116,3761.298,0,AC,2390.5
6237.692,3810.854,0,MG,3293.5
6415.66,4022.194,0,RGC,2322.5
7011.232,5216.956,0,Rod,2716.5
7010.53,5050.706,0,MG,5709.5
-153.88400000000001,-4390.982,0,Rod,4516.5
7.776,-4298.75,0,MG,5826.0
209.396,-4171.164,0,Rod,2667.5
410.962,-4221.152,0,RGC,3642.0
1463.342,-4193.504,0,RGC,2251.5
1940.13,-4594.26,0,RGC,7781.0
2194.994,-5113.114,0,RGC,3686.0
2211.178,-4778.778,0,Rod,1357.0
5209.342,-3967.168,0,Rod,3731.0
5408.316,-3853.822,0,Rod,3078.5
5809.504,-3771.056,0,Rod,2738.0
6008.694,-3820.774,0,BC,4019.0
6022.626,-3744.596,0,Rod,1607.5
7213.446,-4383.962,0,Rod,2055.0
7413.338,-1159.986,0,AC,2390.0
8012.042,584.626,0,BC,3969.5
8436.396,-2195.34,0,Rod,1662.0
8613.122,673.656,0,BC,4376.5
8613.122,-2193.666,0,Rod,1379.0
2214.148,-698.102,0,Rod,2160.0
2231.968,-820.342,0,Rod,2347.5
2621.276,-1188.336,0,AC,3184.0
3210.368,-1573.648,0,Rod,3187.0
3418.09,-1569.382,0,AC,6000.5
3619.494,-1545.352,0,AC,2892.0
4013.554,-1620.342,0,Rod,3093.0
4011.664,-1590.82,0,Rod,2515.0
4250.49,-1351.346,0,AC,5250.0
4409.126,-1408.732,0,Rod,4286.5
4412.366,-1356.098,0,AC,5004.5
5072.36,-96.32000000000001,0,BC,5750.5
-188.336,106.056,0,Cone,2597.0
-183.152,-11.27000000000001,0,AC,1741.5
9.234,-2694.808,0,Rod,3725.0
41.31,10.908,0,Rod,3941.0
218.684,-128.666,0,Rod,2022.5
409.99,-2494.484,0,Rod,3660.0
412.312,-2369.382,0,BC,4116.0
610.26,-507.012,0,Rod,2048.0
673.224,-837.136,0,AC,3750.5
727.494,-999.39,0,MG,3572.5
743.586,-1299.182,0,AC,3480.5
810.87,-1562.146,0,AC,1608.5
613.068,-2133.85,0,BC,3585.5
-359.932,4307.568,0,Rod,2820.0
-188.282,3852.974,0,Rod,2078.0
97.30799999999999,3405.578,0,Rod,3717.5
210.422,3332.354,0,Rod,2252.5
415.498,3228.944,0,Rod,3493.5
1410.638,3239.798,0,BC,4042.5
1608.586,3345.152,0,AC,4645.5
1811.826,3481.27,0,AC,2614.5
2014.256,3632.508,0,Rod,4501.0
2256.97,4247.952,0,RGC,10160.5
2212.906,3765.996,0,Rod,3137.0
2413.5,4134.244,0,Rod,2428.5
2415.282,4364.916,0,Rod,1000.5
4265.286,4757.14,0,Rod,1516.0
4409.72,4438.664,0,Rod,3341.0
4670.362,3992.942,0,Rod,2568.5
5625.488,3603.094,0,Rod,2879.5
5610.098,3660.426,0,Rod,2736.0
6418.144,4025.002,0,AC,1841.0
6809.288,4306.92,0,AC,5771.5
6846.71,4425.38,0,AC,4524.5
7011.61,5104.166,0,MG,2413.0
-359.014,-4560.85,0,Rod,3680.0
8.208,-4313.978,0,AC,4438.0
807.884,-4061.814,0,BC,4491.0
1474.358,-4199.66,0,RGC,6175.0
1807.506,-4319.864,0,Rod,4959.5
2197.91,-5083.36,0,RGC,2009.0
2118.692,-4810.244,0,RGC,2665.5
2214.58,-4781.856,0,Rod,2070.5
2211.88,-5063.002,0,Cone,4055.5
4480.19,-5111.602,0,Cone,1092.0
4498.658,-4979.372,0,Rod,1898.0
4735.486,-4585.042,0,BC,5813.0
5607.506,-3890.704,0,AC,3697.0
5646.332,-3789.794,0,Rod,2335.5
5812.366,-3766.52,0,Rod,4029.5
5808.424,-3856.738,0,Rod,4151.5
6214.31,-3780.02,0,Rod,3312.0
6208.694,-3826.714,0,BC,3545.5
6812.096,-4066.242,0,BC,7473.5
7012.798,-4165.872,0,Rod,2351.0
7233.264,-4595.772,0,AC,1944.0
7411.934,112.374,0,Rod,2620.5
7414.094,-1179.696,0,AC,4553.5
7661.938,410.044,0,Rod,3415.5
