x,y,z,type,volume
6088.776,8269.498,0,BC,2613.0
-2378.67,5628.404,0,MG,2624.5
-2190.334,5238.556,0,Rod,3346.5
-2152.21,5206.982,0,Rod,2377.0
-2013.268,4995.264,0,Rod,2109.0
-1990.118,5082.62,0,Rod,2556.5
-1585.852,4793.374,0,Rod,3081.5
-1589.902,4811.88,0,Rod,2734.0
-1147.998,4754.332,0,Rod,3359.0
-665.81,4898.118,0,Rod,520.0
-556.962,4921.716,0,Rod,2760.5
430.726,5935.918,0,AC,5751.5
7010.854,-5708.2,0,AC,3697.0
8234.236,-5680.606,0,AC,4409.5
8612.258,-5419.1,0,AC,4816.5
-504.528,-348.754,0,RGC,6487.0
-575.862,-543.84,0,RGC,6490.5
3340.67,978.524,0,Rod,2091.5
3425.11,605.524,0,Rod,1540.5
3524.524,394.454,0,Rod,2450.5
3679.164,195.048,0,Rod,2075.5
3844.442,211.718,0,RGC,19568.5
4011.016,28.026,0,BC,4194.5
4246.71,28.566,0,AC,16394.5
5214.688,23.274,0,AC,3711.5
9580.306,1799.746,0,Rod,1577.5
9738.186,1597.154,0,Cone,2900.0
10816.47,1362.378,0,BC,2929.5
10826.784,1440.176,0,AC,4189.0
12292.934,3057.888,0,AC,3873.5
12267.77,2931.382,0,RGC,4932.5
12251.138,2268.688,0,Rod,5940.5
3464.044,6982.088,0,Rod,2059.0
4540.508,6620.79,0,Rod,1903.0
5832.616,7013.23,0,AC,4804.0
6089.208,8275.87,0,BC,4076.0
-2456.036,5808.17,0,Rod,4879.5
-2377.698,5642.12,0,AC,3753.5
-2152.318,5201.042,0,Rod,4040.5
-1143.408,4757.7880000000005,0,Cone,3211.0
-543.03,4919.772,0,Rod,1992.0
430.942,5819.98,0,AC,3675.0
467.554,6026.622,0,AC,2935.5
436.99,6264.476,0,AC,2792.0
423.922,6527.98,0,AC,4761.5
7012.744,-5719.864,0,AC,4143.5
8245.09,-5676.61,0,AC,1550.5
8410.422,-5613.268,0,BC,3954.0
8651.894,-5378.238,0,AC,2629.0
8822.842,-5188.282,0,AC,2628.0
2215.552,-7186.662,0,BC,4818.0
2210.908,-7233.572,0,Rod,3389.0
-1356.53,-1274.126,0,BC,2012.0
-461.43600000000004,-191.144,0,RGC,2698.0
3363.944,806.172,0,Rod,1948.5
3408.37,867.824,0,AC,3883.5
3426.028,597.046,0,Rod,2546.5
3680.082,208.98,0,Rod,1701.0
3865.988,213.662,0,RGC,10790.5
4258.698,22.086,0,RGC,8113.5
4810.314,-136.442,0,AC,2788.5
5150.984,12.636,0,AC,2687.5
5414.958,-7.921999999999997,0,Rod,1793.0
5624.138,269.444,0,AC,2243.0
9582.034,1790.836,0,Rod,2593.0
9811.556,1644.82,0,AC,2077.0
10706.542,1418.252,0,AC,5656.0
12294.338,3018.738,0,AC,3734.0
12251.894,2248.276,0,HC,4816.0
3464.854,6992.24,0,Cone,2563.0
4544.882,6616.686,0,Rod,2246.5
5235.154,6694.5,0,Rod,2546.5
5631.482,6823.598,0,AC,5366.5
5915.992,7217.82,0,AC,1629.5
5836.396,7026.136,0,AC,3177.5
6099.576,8207.522,0,AC,2340.0
6090.828,8256.214,0,AC,4621.0
-2450.582,5801.798,0,BC,4332.0
-2378.022,5614.904,0,BC,5718.5
-2190.334,5287.75,0,MG,2999.0
-2149.402,5191.5380000000005,0,Rod,3507.0
-1989.092,5027.378,0,Rod,2399.0
-1584.988,4800.502,0,Rod,2817.5
-1587.04,4865.07,0,MG,3331.5
-1138.062,4757.7880000000005,0,Rod,1569.5
-919.162,4832.292,0,Rod,960.0
-657.818,4900.008,0,Rod,835.0
-536.28,4920.096,0,Rod,1772.5
431.374,5828.782,0,AC,3998.0
470.578,6044.604,0,AC,3639.5
436.828,6273.332,0,RGC,9625.5
423.922,6551.956,0,AC,3801.0
7014.364,-5730.394,0,BC,3895.0
7220.952,-5774.35,0,BC,6098.0
8251.3,-5678.23,0,AC,3616.0
8426.622,-5573.918,0,AC,4262.5
8651.948,-5386.554,0,AC,4784.5
8826.19,-5181.154,0,BC,2937.0
2211.232,-7245.56,0,Rod,2947.5
2515.614,-6848.044,0,Rod,11588.5
-1353.614,-1259.708,0,AC,4388.0
-457.818,-178.994,0,RGC,5711.0
-497.076,-338.44,0,RGC,5959.0
-567.33,-527.208,0,AC,5012.0
3408.154,844.928,0,AC,3786.0
3426.784,575.932,0,Rod,2716.5
3525.766,377.012,0,Rod,1934.5
3680.568,202.77,0,Rod,1562.0
3877.166,208.316,0,RGC,9885.0
4259.994,12.204,0,RGC,6084.5
4456.538,-200.038,0,BC,2858.0
4811.07,-143.40800000000002,0,BC,3205.0
5216.416,34.938,0,AC,3599.5
5414.904,3.2560000000000002,0,Rod,1505.5
5625.704,210.098,0,Rod,3390.0
9740.778,1602.9859999999999,0,Rod,3267.0
12296.336,3151.416,0,AC,6973.5
12271.334,2910.376,0,RGC,4828.5
12263.234,2679.002,0,AC,4853.5
3237.638,7623.274,0,Rod,3149.5
4012.96,6653.946,0,Rod,4418.5
4864.368,6671.82,0,Rod,1198.5
5240.23,6693.636,0,Rod,2314.5
5917.396,7223.166,0,AC,4047.5
6100.062,8201.798,0,AC,4099.0
6091.152,8264.692,0,BC,5025.5
-2449.232,5726.954,0,Rod,2820.0
-2368.626,5600.556,0,BC,6004.0
-2373.972,5624.408,0,MG,3831.0
-2149.186,5198.882,0,Rod,2679.0
-1586.608,4872.9,0,AC,3204.5
-1118.082,4768.912,0,Rod,3142.5
-918.622,4827.108,0,Rod,739.5
-533.31,4923.606,0,Rod,1787.5
397.262,6480.298,0,AC,3494.5
433.318,5811.88,0,MG,2382.5
471.334,6052.272,0,AC,4665.5
438.988,6291.8,0,AC,7303.0
425.38,6546.664,0,AC,4195.5
7222.734,-5750.05,0,AC,2773.5
8254.756,-5673.262,0,AC,3738.5
8654.918,-5374.836,0,AC,2961.0
8616.092,-5414.348,0,AC,4367.5
2217.982,-7159.824,0,AC,5751.5
-1352.696,-1268.24,0,MG,4111.5
-456.576,-154.856,0,RGC,4647.0
-494.916,-328.18,0,AC,4072.5
-559.23,-512.196,0,AC,4626.5
-393.25,-90.758,0,MG,6803.5
-357.88,101.25,0,AC,3010.0
