x,y,z,type
305.67466266866506,-1418.823088455772,0,RGC
365.67466266866506,-1418.823088455772,0,BC
375.67466266866506,-1418.823088455772,0,BC
405.67466266866506,-1418.823088455772,0,Rod
415.67466266866506,-1418.823088455772,0,Rod
425.67466266866506,-1418.823088455772,0,Rod
315.67466266866506,-1408.823088455772,0,RGC
385.6746626686646,-1408.823088455772,0,BC
405.6746626686655,-1408.823088455772,0,Rod
415.67466266866506,-1408.823088455772,0,Rod
425.67466266866506,-1408.823088455772,0,Rod
445.6746626686646,-1408.823088455772,0,Rod
455.6746626686655,-1408.823088455772,0,Cone
465.67466266866506,-1408.823088455772,0,Rod
325.674662668666,-1398.823088455772,0,RGC
365.67466266866506,-1398.823088455772,0,AC
375.67466266866506,-1398.823088455772,0,BC
385.6746626686646,-1398.823088455772,0,BC
405.6746626686646,-1398.823088455772,0,Rod
415.67466266866415,-1398.823088455772,0,Rod
425.674662668666,-1398.823088455772,0,Rod
435.6746626686655,-1398.823088455772,0,Rod
455.6746626686655,-1398.823088455772,0,Rod
325.674662668666,-1388.823088455772,0,AC
375.67466266866506,-1388.823088455772,0,MG
385.6746626686646,-1388.823088455772,0,HC
405.6746626686646,-1388.823088455772,0,Rod
415.67466266866415,-1388.823088455772,0,Rod
425.674662668666,-1388.823088455772,0,Rod
435.6746626686655,-1388.823088455772,0,Rod
445.6746626686655,-1388.823088455772,0,Rod
455.6746626686655,-1388.823088455772,0,Cone
335.67466266866415,-1378.823088455772,0,RGC
385.67466266866643,-1378.823088455772,0,BC
405.67466266866643,-1378.823088455772,0,Cone
415.674662668666,-1378.823088455772,0,Rod
425.674662668666,-1378.823088455772,0,Rod
435.6746626686655,-1378.823088455772,0,Rod
445.6746626686655,-1378.823088455772,0,Rod
375.6746626686669,-1368.823088455772,0,AC
385.67466266866643,-1368.823088455772,0,BC
395.67466266866643,-1368.823088455772,0,Rod
405.67466266866643,-1368.823088455772,0,Rod
415.674662668666,-1368.823088455772,0,Rod
425.674662668666,-1368.823088455772,0,Rod
435.6746626686655,-1368.823088455772,0,Rod
335.67466266866415,-1358.823088455772,0,AC
395.67466266866643,-1358.823088455772,0,Rod
405.67466266866643,-1358.823088455772,0,Rod
415.674662668666,-1358.823088455772,0,Rod
425.674662668666,-1358.823088455772,0,Rod
435.6746626686655,-1358.823088455772,0,Rod
345.6746626686637,-1348.823088455772,0,AC
