x,y,z,type
-350.14285714287644,-172.47619047619037,0,Rod
89.85714285705876,-162.47619047619037,0,Rod
109.85714285720087,-162.47619047619037,0,Rod
-140.14285714275206,-152.47619047619037,0,Rod
39.85714285715926,-152.47619047619037,0,Rod
119.85714285704398,-152.47619047619037,0,Rod
-190.1428571428794,-142.47619047619037,0,Rod
-170.1428571429651,-142.47619047619037,0,Rod
-140.14285714275206,-142.47619047619037,0,Rod
-120.14285714283778,-142.47619047619037,0,Rod
-160.14285714289394,-132.47619047619037,0,Rod
-110.14285714276662,-132.47619047619037,0,Rod
-100.1428571429235,-132.47619047619037,0,Rod
-90.14285714285256,-132.47619047619037,0,Rod
-80.14285714278162,-132.47619047619037,0,Rod
-70.14285714293851,-132.47619047619037,0,Rod
-60.14285714286734,-132.47619047619037,0,Rod
-50.142857142796174,-132.47619047619037,0,Rod
-40.14285714295306,-132.47619047619037,0,Rod
-30.14285714288212,-132.47619047619037,0,Rod
-20.14285714281118,-132.47619047619037,0,Rod
-10.142857142968069,-132.47619047619037,0,Rod
-0.14285714289690077,-132.47619047619037,0,Rod
9.857142857174267,-132.47619047619037,0,Rod
-230.14285714293555,-122.47619047619037,0,BC
-190.1428571428794,-122.47619047619037,0,BC
-60.14285714286734,-122.47619047619037,0,Rod
-20.14285714281118,-122.47619047619037,0,Rod
-10.142857142968069,-122.47619047619037,0,Rod
-0.14285714289690077,-122.47619047619037,0,Rod
9.857142857174267,-122.47619047619037,0,Rod
19.857142857245208,-122.47619047619037,0,Rod
29.85714285708832,-122.47619047619037,0,Rod
49.85714285723043,-122.47619047619037,0,Rod
-250.14285714284983,-112.47619047619037,0,MG
-210.14285714279345,-112.47619047619037,0,BC
-200.14285714295033,-112.47619047619037,0,BC
-190.1428571428794,-112.47619047619037,0,BC
-180.14285714280823,-112.47619047619037,0,MG
-160.14285714289394,-112.47619047619037,0,BC
-150.142857142823,-112.47619047619037,0,BC
-140.14285714275206,-112.47619047619037,0,MG
-130.14285714290895,-112.47619047619037,0,BC
-120.14285714283778,-112.47619047619037,0,HC
-110.14285714276662,-112.47619047619037,0,BC
-90.14285714285256,-112.47619047619037,0,BC
-70.14285714293851,-112.47619047619037,0,BC
-60.14285714286734,-112.47619047619037,0,Rod
-50.142857142796174,-112.47619047619037,0,Rod
-40.14285714295306,-112.47619047619037,0,BC
9.857142857174267,-112.47619047619037,0,Rod
19.857142857245208,-112.47619047619037,0,Rod
29.85714285708832,-112.47619047619037,0,Rod
39.85714285715926,-112.47619047619037,0,Rod
49.85714285723043,-112.47619047619037,0,Rod
109.85714285720087,-112.47619047619037,0,Rod
-300.1428571427491,-102.47619047619037,0,BC
