x,y,z,type,volume
-386.554,-4678.122,0,RGC,5165.0
211.61,-5141.518,0,BC,3417.5
410.044,-5126.776,0,AC,3292.5
811.124,-5300.046,0,AC,5973.5
7014.04,-5562.524,0,BC,3120.5
8049.194,-4354.046,0,RGC,8396.5
10417.388,1029.916,0,Rod,2943.0
3611.934,1027.864,0,RGC,2536.0
-586.068,-4634.652,0,Rod,6088.0
-385.582,-4770.57,0,BC,2707.5
213.5,-5078.77,0,RGC,2661.0
1411.718,-5162.038,0,AC,4934.0
5422.518,-4864.73,0,Rod,2245.5
6819.17,-5521.808,0,RGC,4202.5
7014.796,-5510.144,0,AC,7490.0
7434.938,-5387.796,0,RGC,3638.5
8051.408,-4372.406,0,AC,4581.5
8264.908,2026.946,0,Rod,2765.0
10681.216,1210.8,0,RGC,4511.5
11155.142,2020.79,0,BC,7342.0
4014.688,825.272,0,AC,3712.0
-577.32,1026.892,0,RGC,6888.5
-740.654,-4207.058,0,Rod,3947.5
-748.106,-4083.792,0,Rod,2890.5
-383.8,-4709.766,0,AC,1969.0
-135.79399999999998,-4994.8,0,BC,3556.5
10.584,-5038.324,0,AC,3193.0
218.9,-5071.372,0,RGC,5379.5
413.986,-5203.116,0,MG,2249.5
417.01,-5134.606,0,RGC,4423.5
626.244,-5286.384,0,MG,2403.5
1011.016,-5297.832,0,AC,4890.5
1209.45,-5244.264,0,MG,2673.0
1412.258,-5167.924,0,BC,2647.0
1625.434,-4980.722,0,AC,1766.5
1816.794,-4727.802,0,AC,3056.0
5427.162,-4871.642,0,Rod,1709.5
6609.342,-5427.2,0,RGC,4095.5
6820.358,-5551.4,0,RGC,2065.5
7857.402,-4970.246,0,RGC,3754.0
7807.182,-5107.984,0,AC,5644.0
8014.202,-4570.516,0,AC,2415.0
8051.84,-4344.164,0,AC,4140.5
8253.784,1969.614,0,Cone,2257.0
8256.106,1786.894,0,Rod,2350.5
10453.892,1053.46,0,Rod,3570.5
10691.8,1219.278,0,RGC,7369.0
11158.004,2010.584,0,MG,7863.5
11010.584,1489.154,0,BC,4885.0
3213.662,1434.398,0,AC,4925.0
3622.14,1028.62,0,AC,3910.0
4609.234,665.988,0,AC,3733.0
-992.494,922.31,0,AC,5569.0
-569.544,1030.132,0,AC,4200.0
-390.928,1047.736,0,MG,4440.5
614.202,6821.978,0,AC,3682.0
-744.488,-3956.368,0,Rod,2853.5
-592.98,-4428.01,0,AC,3381.5
-382.18,-4777.374,0,BC,3433.0
-190.334,-4946.486,0,BC,2615.0
9.558,-5049.232,0,BC,3291.0
219.386,-5122.78,0,AC,3039.5
415.228,-5196.096,0,AC,4059.0
428.134,-5137.144,0,RGC,2553.5
659.13,-5585.744,0,Rod,3133.0
817.604,-5314.788,0,MG,3069.0
1012.474,-5254.146,0,RGC,3035.5
1211.286,-5259.006,0,BC,4456.5
1283.106,-5175.646,0,AC,2604.0
1412.528,-5176.51,0,BC,1727.0
1626.028,-4987.31,0,AC,5222.5
6610.206,-5471.156,0,AC,2124.5
7408.262,-5443.778,0,AC,3495.0
