x,y,z,type,volume
-1377.644,-5215.806,0,Rod,1476.0
-990.928,-4186.122,0,BC,4221.5
-181.964,-3699.182,0,BC,5282.5
32.94,-3615.968,0,Rod,2270.0
216.956,-3613.322,0,Rod,1798.0
1038.826,-3796.528,0,RGC,2274.5
1215.444,-3789.146,0,Rod,1639.5
1433.426,-3988.66,0,Cone,1430.5
4018.09,-3419.154,0,RGC,2973.0
-1185.69,1170.1,0,RGC,4344.5
-1188.606,1249.95,0,MG,6809.5
-786.284,-1384.34,0,AC,3513.0
-590.172,-1148.97,0,AC,3009.5
-372.028,-450.41999999999996,0,RGC,2207.0
-388.282,187.488,0,RGC,6403.5
-392.278,373.826,0,Rod,4858.5
2258.536,205.524,0,Rod,1606.0
2424.084,233.426,0,AC,2754.5
2612.582,53.082,0,AC,1562.0
4210.692,46.926,0,AC,1043.5
4868.04,1337.916,0,AC,4364.5
-989.254,5220.412,0,Rod,1850.0
-991.198,5149.688,0,Rod,3054.5
1212.258,4750.66,0,MG,4108.0
1218.252,4824.3,0,AC,4646.0
1411.232,4877.112,0,AC,5148.0
1926.9,5867.122,0,AC,3134.0
-1381.046,-4947.458,0,BC,1584.5
-1372.298,-5215.536,0,Rod,2416.0
-775.43,-3971.758,0,AC,1137.5
-175.16,-3692.756,0,BC,2179.0
220.79,-3608.57,0,Rod,4579.0
1063.99,-3803.224,0,RGC,870.5
1209.342,-3868.402,0,Rod,2338.5
1219.44,-3765.548,0,Cone,2109.0
1436.99,-3960.58,0,Rod,1778.0
3842.174,-4401.982,0,Rod,1738.0
4019.332,-3439.944,0,RGC,4037.0
5415.066,-2629.576,0,MG,3542.0
6616.74,-3151.13,0,Rod,2990.0
-1117.164,-1574.188,0,AC,6224.5
-1187.634,1259.238,0,BC,5270.5
-986.068,-1516.354,0,BC,2648.0
-780.128,-1389.2,0,AC,3867.5
-514.086,598.072,0,AC,2801.0
-588.228,-1132.014,0,RGC,4678.5
-366.682,-430.926,0,AC,4365.5
-351.508,-294.916,0,RGC,3129.0
2020.79,621.87,0,BC,4135.5
2262.856,202.986,0,Rod,2696.5
2614.04,94.284,0,Rod,3855.0
