x,y,z,type
-1426.9814241486129,-915.7937119734387,0,HC
2512.018575851381,-915.7937119734387,0,RGC
-705.4814241486049,-904.5353817242407,0,Rod
-1426.9814241486129,-893.2770514750431,0,RGC
-1407.4814241486004,-882.0187212258455,0,RGC
-1394.4814241486163,-882.0187212258455,0,RGC
-1381.4814241486038,-882.0187212258455,0,RGC
-861.4814241486133,-882.0187212258455,0,BC
-666.4814241485956,-882.0187212258455,0,Rod
-653.4814241486115,-882.0187212258455,0,Rod
-867.9814241485849,-870.7603909766477,0,BC
-854.9814241486292,-870.7603909766477,0,BC
-841.9814241486167,-870.7603909766477,0,MG
-828.981424148604,-870.7603909766477,0,Rod
-815.9814241485915,-870.7603909766477,0,BC
-802.981424148579,-870.7603909766477,0,BC
-1108.4814241485958,-859.5020607274499,0,Rod
-1043.48142414859,-859.5020607274499,0,Rod
-1017.4814241486217,-859.5020607274499,0,RGC
-874.4814241485974,-859.5020607274499,0,AC
-861.4814241485849,-859.5020607274499,0,AC
-848.4814241486292,-859.5020607274499,0,BC
-835.4814241486167,-859.5020607274499,0,AC
-822.481424148604,-859.5020607274499,0,BC
-783.4814241486233,-859.5020607274499,0,Rod
-627.4814241485863,-859.5020607274499,0,Rod
-1010.9814241486092,-848.2437304782524,0,RGC
-997.9814241485967,-848.2437304782524,0,AC
-841.9814241486167,-848.2437304782524,0,AC
-828.981424148604,-848.2437304782524,0,AC
-815.9814241485915,-848.2437304782524,0,HC
-991.4814241485967,-836.9854002290546,0,AC
-939.4814241486033,-836.9854002290546,0,RGC
-926.4814241485908,-836.9854002290546,0,RGC
-796.481424148579,-836.9854002290546,0,AC
-776.9814241486108,-825.7270699798568,0,Rod
-763.9814241485981,-825.7270699798568,0,AC
-861.4814241485849,-814.4687397306592,0,RGC
-757.4814241485981,-814.4687397306592,0,AC
-763.9814241485981,-780.693748983066,0,RGC
-490.98142414861877,-780.693748983066,0,Rod
-653.4814241486115,-769.4354187338685,0,RGC
-484.48142414861877,-769.4354187338685,0,Rod
-705.4814241486049,-746.9187582354729,0,RGC
-627.4814241485863,-746.9187582354729,0,Rod
-601.4814241486181,-746.9187582354729,0,Rod
-711.9814241486049,-735.6604279862753,0,AC
-555.9814241486247,-735.6604279862753,0,Rod
-601.4814241486181,-724.4020977370777,0,AC
-588.4814241486056,-724.4020977370777,0,AC
-575.4814241485931,-724.4020977370777,0,Rod
-581.9814241485931,-713.1437674878799,0,AC
-568.9814241485803,-713.1437674878799,0,Rod
-614.4814241486306,-701.8854372386821,0,AC
-555.9814241486247,-690.6271069894846,0,Rod
-594.9814241486056,-668.110446491089,0,RGC
-419.48142414861286,-544.2688137499143,0,RGC
-315.4814241486263,-476.7188322547282,0,RGC
-237.48142414860763,-386.65219026114653,0,RGC
-133.48142414862104,-386.65219026114653,0,Rod
-139.98142414862104,-375.39386001194873,0,Rod
-126.98142414860854,-375.39386001194873,0,Rod
-61.98142414860263,-375.39386001194873,0,Cone
-48.981424148589895,-375.39386001194873,0,Rod
-159.4814241485892,-364.13552976275116,0,Rod
-133.48142414862104,-364.13552976275116,0,HC
-120.48142414860854,-364.13552976275116,0,Rod
-107.4814241485958,-364.13552976275116,0,Rod
