x,y,z,type
-429.36221374045624,-1688.8096963962544,0,Rod
-422.86221374045806,-1677.5513661470566,0,Rod
-409.8622137404594,-1677.5513661470566,0,Rod
-396.86221374046124,-1677.5513661470566,0,Rod
-383.86221374046306,-1677.5513661470566,0,Rod
-416.36221374045806,-1666.293035897859,0,BC
-403.3622137404594,-1666.293035897859,0,Rod
-390.36221374046124,-1666.293035897859,0,Rod
-377.36221374046306,-1666.293035897859,0,Cone
-409.8622137404594,-1655.0347056486612,0,MG
-396.86221374046124,-1655.0347056486612,0,AC
-383.86221374046306,-1655.0347056486612,0,Rod
-370.86221374045033,-1655.0347056486612,0,Rod
-357.86221374045215,-1655.0347056486612,0,Rod
-344.8622137404535,-1655.0347056486612,0,Rod
-403.3622137404594,-1643.7763753994636,0,AC
-390.36221374046124,-1643.7763753994636,0,BC
-377.36221374046306,-1643.7763753994636,0,Rod
-364.36221374045033,-1643.7763753994636,0,Rod
-351.36221374045215,-1643.7763753994636,0,Rod
-338.3622137404535,-1643.7763753994636,0,Rod
-325.36221374045533,-1643.7763753994636,0,Rod
-312.36221374045715,-1643.7763753994636,0,Rod
-299.3622137404585,-1643.7763753994636,0,Rod
-409.8622137404594,-1632.5180451502658,0,AC
-396.86221374046124,-1632.5180451502658,0,BC
-383.86221374046306,-1632.5180451502658,0,AC
-370.86221374045033,-1632.5180451502658,0,RGC
-357.86221374045215,-1632.5180451502658,0,Rod
-344.8622137404535,-1632.5180451502658,0,Rod
-331.86221374045533,-1632.5180451502658,0,Rod
-318.86221374045715,-1632.5180451502658,0,Rod
-305.8622137404585,-1632.5180451502658,0,Rod
-292.8622137404599,-1632.5180451502658,0,Rod
-351.36221374045215,-1621.259714901068,0,BC
-338.3622137404535,-1621.259714901068,0,Rod
-325.36221374045533,-1621.259714901068,0,Rod
-312.36221374045715,-1621.259714901068,0,Rod
-299.3622137404585,-1621.259714901068,0,Rod
-286.3622137404599,-1621.259714901068,0,Cone
-273.36221374046215,-1621.259714901068,0,Rod
-260.362213740464,-1621.259714901068,0,Rod
-357.86221374045215,-1610.0013846518705,0,AC
-344.8622137404535,-1610.0013846518705,0,MG
-331.86221374045533,-1610.0013846518705,0,BC
-318.86221374045715,-1610.0013846518705,0,Rod
-305.8622137404585,-1610.0013846518705,0,Rod
-292.8622137404599,-1610.0013846518705,0,Rod
-279.86221374046215,-1610.0013846518705,0,Rod
-266.862213740464,-1610.0013846518705,0,Rod
-253.86221374045124,-1610.0013846518705,0,Cone
-240.8622137404526,-1610.0013846518705,0,Rod
-227.86221374045442,-1610.0013846518705,0,Rod
-338.3622137404535,-1598.7430544026727,0,AC
-325.36221374045533,-1598.7430544026727,0,BC
-312.36221374045715,-1598.7430544026727,0,MG
-299.3622137404585,-1598.7430544026727,0,HC
-286.3622137404599,-1598.7430544026727,0,Rod
-273.36221374046215,-1598.7430544026727,0,Rod
-260.362213740464,-1598.7430544026727,0,Cone
-247.36221374045124,-1598.7430544026727,0,Rod
-234.3622137404526,-1598.7430544026727,0,Rod
-221.36221374045442,-1598.7430544026727,0,Cone
-208.36221374045624,-1598.7430544026727,0,Rod
-331.86221374045533,-1587.484724153475,0,AC
-318.86221374045715,-1587.484724153475,0,BC
-305.8622137404585,-1587.484724153475,0,AC
-292.8622137404599,-1587.484724153475,0,BC
-279.86221374046215,-1587.484724153475,0,BC
-266.862213740464,-1587.484724153475,0,Rod
-253.86221374045124,-1587.484724153475,0,Rod
-240.8622137404526,-1587.484724153475,0,Rod
-227.86221374045442,-1587.484724153475,0,Rod
-214.86221374045624,-1587.484724153475,0,Rod
-201.86221374045806,-1587.484724153475,0,Cone
-188.86221374045942,-1587.484724153475,0,Cone
-175.8622137404608,-1587.484724153475,0,Rod
-299.3622137404585,-1576.2263939042773,0,AC
-286.3622137404599,-1576.2263939042773,0,BC
-273.36221374046215,-1576.2263939042773,0,MG
-260.362213740464,-1576.2263939042773,0,BC
-247.36221374045124,-1576.2263939042773,0,Rod
-234.3622137404526,-1576.2263939042773,0,Rod
-221.36221374045442,-1576.2263939042773,0,Rod
-208.36221374045624,-1576.2263939042773,0,Rod
-195.36221374045806,-1576.2263939042773,0,Cone
-182.36221374045942,-1576.2263939042773,0,Rod
-169.3622137404608,-1576.2263939042773,0,Rod
-78.36221374045851,-1576.2263939042773,0,Rod
-318.86221374047125,-1564.9680636550797,0,RGC
-279.86221374046215,-1564.9680636550797,0,BC
-266.8622137404494,-1564.9680636550797,0,MG
-253.86221374046534,-1564.9680636550797,0,BC
-240.8622137404526,-1564.9680636550797,0,BC
-227.86221374046852,-1564.9680636550797,0,Rod
-214.86221374045624,-1564.9680636550797,0,Rod
-201.8622137404435,-1564.9680636550797,0,Rod
-188.86221374045942,-1564.9680636550797,0,Rod
-175.8622137404467,-1564.9680636550797,0,Rod
-162.8622137404626,-1564.9680636550797,0,Cone
-149.86221374045033,-1564.9680636550797,0,Rod
-273.36221374046215,-1553.709733405882,0,RGC
-260.3622137404494,-1553.709733405882,0,AC
-247.36221374046534,-1553.709733405882,0,AC
-234.3622137404526,-1553.709733405882,0,AC
-221.36221374046852,-1553.709733405882,0,HC
-208.36221374045624,-1553.709733405882,0,Rod
-195.3622137404435,-1553.709733405882,0,Rod
-182.36221374045942,-1553.709733405882,0,Cone
-169.3622137404467,-1553.709733405882,0,Rod
-156.3622137404626,-1553.709733405882,0,Cone
-143.36221374045033,-1553.709733405882,0,Rod
-130.36221374046625,-1553.709733405882,0,Cone
-117.36221374045351,-1553.709733405882,0,Rod
-104.36221374046943,-1553.709733405882,0,Rod
-214.86221374045624,-1542.4514031566841,0,AC
-201.8622137404435,-1542.4514031566841,0,BC
-188.86221374045942,-1542.4514031566841,0,Rod
-175.8622137404467,-1542.4514031566841,0,Rod
-162.8622137404626,-1542.4514031566841,0,Rod
-149.86221374045033,-1542.4514031566841,0,Rod
-136.86221374046625,-1542.4514031566841,0,Cone
-123.86221374045351,-1542.4514031566841,0,Cone
-110.86221374046943,-1542.4514031566841,0,Rod
-97.8622137404567,-1542.4514031566841,0,Rod
-234.3622137404526,-1531.1930729074866,0,AC
-208.36221374045624,-1531.1930729074866,0,AC
-195.3622137404435,-1531.1930729074866,0,BC
-182.36221374045942,-1531.1930729074866,0,Cone
-169.3622137404467,-1531.1930729074866,0,Rod
-156.3622137404626,-1531.1930729074866,0,Rod
-143.36221374045033,-1531.1930729074866,0,Rod
-130.36221374046625,-1531.1930729074866,0,Rod
-117.36221374045351,-1531.1930729074866,0,Rod
-104.36221374046943,-1531.1930729074866,0,Cone
-91.3622137404567,-1531.1930729074866,0,Rod
-78.36221374044442,-1531.1930729074866,0,Rod
-240.8622137404526,-1519.9347426582888,0,AC
-188.86221374045942,-1519.9347426582888,0,AC
-175.8622137404467,-1519.9347426582888,0,MG
-162.8622137404626,-1519.9347426582888,0,Rod
-149.86221374045033,-1519.9347426582888,0,Rod
